duration_ran,distance_ran,elevation_gain_ran,runner_id,run_id,pair_id
00:20:16,3.7,,1,1,1
00:18:13,3.3,,1,2,1
00:17:32,3.2,,1,3,1
00:08:38,1.6,,1,4,1
00:26:37,5.0,,1,5,1
00:14:34,2.7,,1,6,1
00:15:45,3.0,,1,7,2
00:32:37,5.0,30,1,8,2
00:32:37,5.0,30,3,8,7
00:25:11,5.0,,1,9,2
00:42:21,7.5,,1,10,2
00:13:49,3.0,,1,11,2
00:59:15,10.0,25,3,12,7
00:54:57,10.0,,1,13,2
00:20:37,4.3,25,1,14,2
00:21:14,4.3,23,2,14,6
00:30:00,6.1,,1,15,2
00:35:02,6.9,47,1,16,2
00:35:20,6.8,43,2,16,6
00:23:34,5.0,,1,17,2
00:20:00,3.7,,1,18,2
00:22:57,4.8,30,1,19,2
01:16:58,15.0,,1,20,2
00:13:52,2.8,20,1,21,2
00:33:02,6.5,34,1,22,2
00:34:50,6.8,36,2,22,6
00:10:00,2.2,,1,23,2
00:48:40,10.0,,1,24,2
00:17:02,3.6,,1,25,2
00:18:00,1.8,,4,25,8
01:25:03,16.1,108,1,26,2
